"step_n","position","position_return","omega","epsilon","phi","knowledge","decision","decision_norm","entropy","delta_t","cosine_similarity","delta_h_over_delta_d","frobenius_norm","lagrangian","classical_lagrangian","timestamp"
10,-0.0031616240580811805,-7.1289232902886095,0.15,0.1,0.0,2.26356380095237E-4,0.4999829377458782,1.6582558060826982,-4.2609401580792046E-9,0.1,-0.9999999999999999,4.6040675376624366E-4,0.054638556835834295,1.706225410853646E-5,1.3664807042564857E-5,"2025-07-24T10:10:58.368220Z"
11,-0.0037336299582195753,-8.364645421612963,0.15,0.1,0.0,3.00664915476725E-4,0.49997830137877936,1.7319756413400553,-7.062385452432959E-9,0.1,-1.0,6.042328475341036E-4,0.05960569836949458,2.1698621193425693E-5,1.6202712572176474E-5,"2025-07-24T10:10:58.468250Z"
12,-0.004352551592966658,-9.876876574802985,0.15,0.1,0.0,3.908930462511347E-4,0.49997289644384746,1.8026779144705274,-1.1252657403711083E-8,0.1,-1.0,7.752677884334818E-4,0.06457283990527235,2.7103556099495074E-5,1.89400715624939E-5,"2025-07-24T10:10:58.568213Z"
13,-0.005018209119890149,-11.786872211076421,0.15,0.1,0.0,4.989140165407612E-4,0.4999666649051387,1.8707039648830204,-1.733358811841029E-8,0.1,-0.9999999999999997,9.758313313762512E-4,0.06953998144412633,3.333509476251352E-5,2.1871694901321735E-5,"2025-07-24T10:10:58.668254Z"
14,-0.005730409054313768,-14.29606243142655,0.15,0.1,0.0,6.266647104786941E-4,0.499959548966978,1.9363350069264307,-2.593126441075632E-8,0.1,-1.0000000000000002,0.001208228078738505,0.07450712298733352,4.045103284548072E-5,2.499201446544051E-5,"2025-07-24T10:10:58.768261Z"
15,-0.00648894431181557,-17.7659936783449,0.15,0.1,0.0,7.761425492270638E-4,0.49995149109084747,1.999805964363302,-3.781458708709277E-8,0.1,-1.0000000000000002,0.001474746258675536,0.07947426453656178,4.8508908848101856E-5,2.8295089862995533E-5,"2025-07-24T10:10:58.868217Z"
16,-0.0072935942537184495,-22.91760693545037,0.15,0.1,0.0,9.494025970818739E-4,0.49994243401221933,2.061315462160609,-5.3914961902584975E-8,0.1,-0.9999999999999998,0.001777656513378558,0.08444140609395283,5.756598727198969E-5,3.177461563241429E-5,"2025-07-24T10:10:58.968260Z"
17,-0.008144124735564029,-31.426569464470006,0.15,0.1,0.0,0.0011485548426544711,0.49993232075732813,2.1210332048507325,-7.534707983060926E-8,0.1,-1.0,0.002119210695132246,0.08940854766221566,6.767924184514341E-5,3.542392889070389E-5,"2025-07-24T10:10:59.068257Z"
18,-0.009040288158558951,-48.28791245662084,0.15,0.1,0.0,0.0013757616280365022,0.49992109465988077,2.1791055313661833,-1.0343074176643089E-7,0.1,-0.9999999999999997,0.0025016406696548804,0.09437568924473136,7.890533880922204E-5,3.923601742331376E-5,"2025-07-24T10:10:59.168251Z"
19,-0.009981823523986355,-98.1060485836715,0.15,0.1,0.0,0.0016332352040848968,0.49990869937769744,2.2356596687033066,-1.3971368033021932E-7,0.1,-1.0,0.002927157125360347,0.0993428308456698,9.13006202731022E-5,4.3203528207805667E-5,"2025-07-24T10:10:59.268215Z"
20,-0.0109684564905691,-5428.0761894774205,0.15,0.1,0.0,0.0019232353939827756,0.4998950789092838,2.2908070386364816,-1.8599532904347878E-7,0.1,-0.9999999999999998,0.0033979483897143077,0.10430997247011824,1.0492108763617424E-4,4.7318776362306504E-5,"2025-07-24T10:10:59.368227Z"
21,-0.01199989943477442,106.50379797642793,0.15,0.1,0.0,0.002248067350366627,0.49988017761032755,2.3446458630848817,-2.4435148683108764E-7,0.1,-0.9999999999999999,0.0039161792511445866,0.1092771141242233,1.1982238508479784E-4,5.157375451004393E-5,"2025-07-24T10:10:59.468248Z"
22,-0.013075851514048886,53.800309183838046,0.15,0.1,0.0,0.002610079393786461,0.49986394021011793,2.3972632418240196,-3.171598235516293E-7,0.1,-0.9999999999999998,0.004483989787811961,0.11424425581534582,1.3605978316530535E-4,5.596014255055609E-5,"2025-07-24T10:10:59.568249Z"
23,-0.01419599873296995,36.41746728685749,0.15,0.1,0.0,0.0030116609222449217,0.49984631182788275,2.4487368275763286,-4.07126170084716E-7,0.1,-1.0,0.00510349420229539,0.1192113975522296,1.5368816243690285E-4,6.046931782753173E-5,"2025-07-24T10:10:59.668159Z"
24,-0.015360014012302359,27.74107795091045,0.15,0.1,0.0,0.0034552403831602865,0.49982723798904183,2.4991361899385858,-5.173115344088789E-7,0.1,-0.9999999999999998,0.005776779663659897,0.12417853934518434,1.7276199720778567E-4,6.509236568331137E-5,"2025-07-24T10:10:59.768255Z"
25,-0.016567557260944388,22.528733056862606,0.15,0.1,0.0,0.003943283300402205,0.49980666464137125,2.548523936020423,-6.511597830901428E-7,0.1,-1.0000000000000004,0.006505905155758869,0.12914568120628325,1.933353393577451E-4,6.98200903891072E-5,"2025-07-24T10:10:59.868256Z"
26,-0.01781827545075021,19.04388709701137,0.15,0.1,0.0,0.00447829035012193,0.49978453817107593,2.596956638835085,-8.12525925672809E-7,0.1,-0.9999999999999999,0.0072929003329031475,0.1341128231495754,2.154618022505074E-4,7.464302644012099E-5,"2025-07-24T10:10:59.968261Z"
27,-0.019111802694215307,16.5449177585701,0.15,0.1,0.0,0.0050627954799885595,0.4997608054187669,2.6444856122911475,-1.005704937623046E-6,0.1,-1.0,0.008139764382768078,0.13907996519131358,2.3919454473900954E-4,7.955145020431632E-5,"2025-07-24T10:11:00.068224Z"
28,-0.020447760325005504,14.66183669273632,0.15,0.1,0.0,0.0056993640671861795,0.49973541369533964,2.691157562683452,-1.2354610557250682E-6,0.1,-0.9999999999999999,0.009048464896851668,0.14404710735019802,2.645862552667741E-4,8.453539191235298E-5,"2025-07-24T10:11:00.168209Z"
29,-0.021825756981320388,13.189397664653624,0.15,0.1,0.0,0.006390591111152242,0.499708310797751,2.7370151399292855,-1.5070574781725686E-6,0.1,-1.0000000000000002,0.010020936748902547,0.1490142496476355,2.916891360685145E-4,8.958464797791387E-5,"2025-07-24T10:11:00.268235Z"
30,-0.023245388692066715,12.00457368596983,0.15,0.1,0.0,0.00713909945756677,0.49967944502469014,2.7820974067951467,-1.8262864000355534E-6,0.1,-0.9999999999999998,0.011059080981121985,0.15398139210801526,3.205548874730547E-4,9.4688793634068E-5,"2025-07-24T10:11:00.368218Z"
31,-0.024706238965831684,11.02912347630795,0.15,0.1,0.0,0.007947538050552835,0.49964876519214074,2.8264402405603706,-2.199499313319416E-6,0.1,-1.0,0.01216476369885557,0.15894853475900111,3.512346923116178E-4,9.983719587479541E-5,"2025-07-24T10:11:00.468215Z"
32,-0.02620787888263354,10.21090382313758,0.15,0.1,0.0,0.00881858021043462,0.49961622064883066,2.8700766786493586,-2.6336374994692218E-6,0.1,-1.0,0.01333981497338294,0.16391567763184034,3.8377920043449333E-4,1.0501902668695782E-4,"2025-07-24T10:11:00.568213Z"
33,-0.027749867188435973,9.513819278688262,0.15,0.1,0.0,0.009754921934731473,0.49958176129156806,2.9130372175077563,-3.1362626409116247E-6,0.1,-0.9999999999999999,0.014586027754730993,0.1688828207616892,4.182385133390622E-4,1.1022327656059474E-4,"2025-07-24T10:11:00.668260Z"
34,-0.029331750392402434,8.912084733777935,0.15,0.1,0.0,0.01075928022035342,0.4995453375804563,2.9553500722360986,-3.715587477070297E-6,0.1,-0.9999999999999998,0.015905156791428062,0.17384996418795587,4.5466216891211454E-4,1.1543876826238504E-4,"2025-07-24T10:11:00.768215Z"
35,-0.0309530628668766,8.386785684504595,0.15,0.1,0.0,0.011834391405212981,0.4995069005539888,2.997041403107863,-4.380506429241785E-6,0.1,-1.0,0.017298917561527617,0.17881710795466016,4.930991262893643E-4,1.206541708598183E-4,"2025-07-24T10:11:00.868220Z"
36,-0.032613326950065025,7.923729784694303,0.15,0.1,0.0,0.012983009527685559,0.49946640184401886,3.0381355139993933,-5.140626117777549E-6,0.1,-0.9999999999999997,0.018768985212131658,0.18378425211081073,5.335977508350268E-4,1.2585801398031657E-4,"2025-07-24T10:11:00.968214Z"
37,-0.03431205305140428,7.512057403540834,0.15,0.1,0.0,0.014207904702540944,0.49942379369059986,3.0786550268812602,-6.006295694187394E-6,0.1,-0.9999999999999997,0.020316993508191706,0.18875139671079955,5.762057992442919E-4,1.310387022917863E-4,"2025-07-24T10:11:01.068217Z"
38,-0.03604873975959033,7.143315722921807,0.15,0.1,0.0,0.015511861512135907,0.4993790289566962,3.118621035814984,-6.9886369100611165E-6,0.1,-0.9999999999999993,0.021944533792793406,0.19371854181481296,6.209704047714892E-4,1.3618453018914036E-4,"2025-07-24T10:11:01.168254Z"
39,-0.03782287395324935,6.810825437364337,0.15,0.1,0.0,0.016897677411805086,0.4993320611427575,3.1580532433283532,-8.099573844099681E-6,0.1,-0.9999999999999991,0.023653153955353983,0.19868568748926116,6.679380625867098E-4,1.4128369667206823E-4,"2025-07-24T10:11:01.268251Z"
40,-0.03963393091422884,6.50923755763911,0.15,0.1,0.0,0.018368161148518157,0.4992828444011578,3.196970081578287,-9.35186220805741E-6,0.1,-0.9999999999999988,0.025444357412808198,0.20365283380722415,7.171546152636217E-4,1.4632432039883336E-4,"2025-07-24T10:11:01.368251Z"
41,-0.04148137444348554,6.234216900227844,0.15,0.1,0.0,0.019926131191986756,0.4992313335504912,3.235388820330376,-1.0759118152021827E-5,0.1,-0.9999999999999984,0.02731960209847055,0.20861998084891498,7.686652384011791E-4,1.5129445490026484E-4,"2025-07-24T10:11:01.468233Z"
42,-0.0433646569795475,5.982211924840746,0.15,0.1,0.0,0.021574414177507776,0.4991774840897275,3.2733256634718932,-1.2335846489200559E-5,0.1,-0.9999999999999977,0.029280299464792714,0.21358712870216004,8.225144263819008E-4,1.561821039385677E-4,"2025-07-24T10:11:01.568251Z"
43,-0.045283219719527756,5.750284623505446,0.15,0.1,0.0,0.023315843359921682,0.49912125221221754,3.3107958355169083,-1.4097468260246532E-5,0.1,-0.9999999999999969,0.03132781349393136,0.21855427746289627,8.787459782693638E-4,1.6097523699514838E-4,"2025-07-24T10:11:01.668206Z"
44,-0.04723649274266484,5.535982936545975,0.15,0.1,0.0,0.025153257078146533,0.49906259481955195,3.3478136593477865,-1.606034755713158E-5,0.1,-0.999999999999996,0.03346345972238751,0.2235214272356847,9.374029838475371E-4,1.6566180487119053E-4,"2025-07-24T10:11:01.768207Z"
45,-0.04922389513636605,5.3372437824255226,0.15,0.1,0.0,0.027089497229822315,0.49900146953526564,3.384392626258507,-1.824181752667863E-5,0.1,-0.999999999999995,0.03568850427474509,0.2284885781342414,9.98527809804548E-4,1.7022975538501036E-4,"2025-07-24T10:11:01.868208Z"
46,-0.05124483512472833,5.1523184562274285,0.15,0.1,0.0,0.029127407755666416,0.4989378347183879,3.4205454592154263,-2.0660205474082592E-5,0.1,-0.9999999999999941,0.03800416291052325,0.23345573028198333,0.0010621620860634569,1.7466704914978002E-4,"2025-07-24T10:11:01.968240Z"
47,-0.0532987101995116,4.979714595954036,0.15,0.1,0.0,0.031269833133200815,0.4988716494768334,3.456284170125139,-2.3334856987090704E-5,0.1,-0.9999999999999921,0.04041160008165691,0.23842288381259075,0.001128346692262597,1.7896167541532024E-4,"2025-07-24T10:11:02.068206Z"
48,-0.05538490725353906,4.818150574034866,0.15,0.1,0.0,0.03351961687956546,0.4988028736806323,3.491620111792597,-2.62861590019745E-5,0.1,-0.9999999999999899,0.042911928002337826,0.2433900388705858,0.0011971217443880098,1.8310166795745773E-4,"2025-07-24T10:11:02.168246Z"
49,-0.057502802716497436,4.666519314729289,0.15,0.1,0.0,0.03587960006318096,0.4987314679749975,3.5265640251624966,-2.9535561733008664E-5,0.1,-0.9999999999999872,0.04550620573169824,0.24835719561192499,0.0012685265815604997,1.870751209981436E-4,"2025-07-24T10:11:02.268249Z"
50,-0.059651762693110455,4.523859338233737,0.15,0.1,0.0,0.0379729391549719,0.49865745795776534,3.526040693958452,-2.78795934513033E-5,0.1,-0.9999999999999857,-0.022374920904429794,0.24835719561192499,0.0013425355893628105,1.9087020513978566E-4,"2025-07-24T10:11:02.368249Z"
51,-0.061831143103658115,4.389331400011031,0.15,0.1,0.0,0.04013944929884431,0.4985808608875572,3.525499070554478,-3.051839555048108E-5,0.1,-0.9999999999999859,0.03445043122416635,0.24835719561192499,0.0014191314908745523,1.9447518329701255E-4,"2025-07-24T10:11:02.468251Z"
52,-0.06404028982681464,4.262199501829265,0.15,0.1,0.0,0.04237849573725816,0.49850169936282207,3.524939313710436,-3.33190152520918E-5,0.1,-0.9999999999999857,0.035378546724322724,0.24835719561192499,0.0014982916677156591,1.9787842660925944E-4,"2025-07-24T10:11:02.568256Z"
53,-0.06627853884477664,4.141815347650814,0.15,0.1,0.0,0.04468941771499079,0.49841999675561977,3.5243615886918436,-3.6284708213880986E-5,0.1,-0.9999999999999861,0.03629863309558505,0.24835719561192499,0.0015799927261291083,2.0106843031715693E-4,"2025-07-24T10:11:02.668263Z"
54,-0.06854521639065136,4.027605535613698,0.15,0.1,0.0,0.04707153276659501,0.4983357772065047,3.5237660661983004,-3.9418525713688274E-5,0.1,-0.9999999999999861,0.0372100959068901,0.24835719561192499,0.0016642105020178084,2.040338295856705E-4,"2025-07-24T10:11:02.768220Z"
55,-0.07083963909807833,3.919060939355153,0.15,0.1,0.0,0.049524136867056645,0.498249065619238,3.5231529223260947,-4.2723255033722043E-5,0.1,-0.9999999999999858,0.038111738283252615,0.24835719561192499,0.001750920066155747,2.0676341525793267E-4,"2025-07-24T10:11:02.868251Z"
56,-0.07316111415305304,3.8157278534021324,0.15,0.1,0.0,0.05204650458724865,0.49815988765532837,3.5225223385296003,-4.620141373615374E-5,0.1,-0.9999999999999862,0.0390024457830967,0.24835719561192499,0.0018400957295729972,2.092461495221857E-4,"2025-07-24T10:11:02.968246Z"
57,-0.0755089394479227,3.7172005692938943,0.15,0.1,0.0,0.05463788925415083,0.4980682697284028,3.521874501581475,-4.9855244241354236E-5,0.1,-0.9999999999999861,0.03988117421788473,0.24835719561192499,0.0019317110491141444,2.1147118147530085E-4,"2025-07-24T10:11:03.068249Z"
58,-0.07788240373752409,3.6231151192551527,0.15,0.1,0.0,0.05729752311580361,0.4979742389984085,3.521209603531656,-5.368670871551387E-5,0.1,-0.9999999999999861,0.04074693958444738,0.24835719561192499,0.0020257388331696613,2.1342786256638616E-4,"2025-07-24T10:11:03.168250Z"
59,-0.08028078679743322,3.5331439781991056,0.15,0.1,0.0,0.06002461751096349,0.4978778233656455,3.5205278416651717,-5.7697484274095346E-5,0.1,-0.9999999999999862,0.041598809691387545,0.24835719561192499,0.0021221511475797233,2.1510576190378783E-4,"2025-07-24T10:11:03.268249Z"
60,-0.08270335958429342,3.4469915566578093,0.15,0.1,0.0,0.06281836304342636,0.49777905146463275,3.5198294184587655,-6.188895850726417E-5,0.1,-0.9999999999999863,0.04243589715487268,0.24835719561192499,0.0022209193217098975,2.164946814083292E-4,"2025-07-24T10:11:03.368200Z"
61,-0.0851493843981922,3.3643903498885948,0.15,0.1,0.0,0.06567792976098454,0.4976779526578084,3.5191145415363447,-6.626222533314584E-5,0.1,-0.9999999999999865,0.04325735350645403,0.24835719561192499,0.002322013954698114,2.175846707972765E-4,"2025-07-24T10:11:03.468213Z"
62,-0.08761811504705352,3.2850976340409197,0.15,0.1,0.0,0.06860246733898191,0.49757455702906356,3.518383423623264,-7.08180811844332E-5,0.1,-0.9999999999999867,0.044062364208164964,0.24835719561192499,0.0024254049218722803,2.1836604238187823E-4,"2025-07-24T10:11:03.568189Z"
63,-0.09010879701301322,3.208892620556166,0.15,0.1,0.0,0.0715911052684313,0.4974688953771125,3.5176362824994443,-7.555702153356177E-5,0.1,-0.9999999999999863,0.04485014441495282,0.24835719561192499,0.0025310613813378387,2.18829385662603E-4,"2025-07-24T10:11:03.668214Z"
64,-0.09262066762074483,3.1355739961037923,0.15,0.1,0.0,0.0746429530486563,0.49736099920869997,3.516873340951339,-8.047923776133743E-5,0.1,-0.9999999999999867,0.045619935352637676,0.24835719561192499,0.002638951780734529,2.1896558170603398E-4,"2025-07-24T10:11:03.768253Z"
65,-0.09515295620770159,3.0649577882628174,0.15,0.1,0.0,0.07775710038442034,0.49725090073164663,3.516094826722759,-8.558461437357693E-5,0.1,-0.9999999999999866,0.046371001206182635,0.24835719561192499,0.002749043864161579,2.1876581728709314E-4,"2025-07-24T10:11:03.868216Z"
66,-0.09770488429624224,2.996875507546793,0.15,0.1,0.0,0.08093261738750308,0.4971386328477329,3.5153009724645563,-9.087272656998089E-5,0.1,-0.9999999999999869,0.047102626432934405,0.24835719561192499,0.002861304679270453,2.1822159878153986E-4,"2025-07-24T10:11:03.968249Z"
67,-0.10027566576760494,2.931172524758509,0.15,0.1,0.0,0.08416855478268513,0.49702422914542504,3.5144920156831847,-9.634283816912716E-5,0.1,-0.999999999999987,0.04781411343162686,0.24835719561192499,0.0029757005845243074,2.17324765792302E-4,"2025-07-24T10:11:04.068229Z"
68,-0.10286450703769556,2.867706649491828,0.15,0.1,0.0,0.08746394411809981,0.4969077238924415,3.5136681986881384,-1.0199389989311731E-4,0.1,-0.9999999999999867,0.04850478050794163,0.24835719561192499,0.0030921972566231443,2.1606750449500563E-4,"2025-07-24T10:11:04.168234Z"
69,-0.10547060723465629,2.8063468811640355,0.15,0.1,0.0,0.09081779797991063,0.496789152028163,3.5128297685382837,-1.0782454801507135E-4,0.1,-0.9999999999999868,0.04917396009106678,0.24835719561192499,0.0032107596980937183,2.144423606874064E-4,"2025-07-24T10:11:04.268207Z"
70,-0.10809315837817668,2.7469723085288935,0.15,0.1,0.0,0.09422911021127191,0.4966685491558872,3.511976976987091,-1.1383310337229788E-4,0.1,-0.9999999999999868,0.049820997160723114,0.24835719561192499,0.0033313522450430766,2.1244225252709762E-4,"2025-07-24T10:11:04.368206Z"
71,-0.11073134556051478,2.6894711373928346,0.15,0.1,0.0,0.09769685613552942,0.49654595153492914,3.511110080426776,-1.2001757074763062E-4,0.1,-0.9999999999999869,0.050445247852306765,0.24835719561192499,0.00345393857507464,2.1006048294417896E-4,"2025-07-24T10:11:04.468249Z"
72,-0.11338434712919032,2.6337398293580194,0.15,0.1,0.0,0.10121999278361665,0.49642139607256885,3.5102293398313607,-1.2637563862103463E-4,0.1,-0.9999999999999872,0.0510460782122325,0.24835719561192499,0.0035784817153656245,2.0729075171322541E-4,"2025-07-24T10:11:04.568248Z"
73,-0.11605133487131392,2.5796823370088067,0.15,0.1,0.0,0.10479745912560191,0.4962949203158481,3.5093350206986687,-1.3290467929325095E-4,0.1,-0.999999999999987,0.05162286308064298,0.24835719561192499,0.0037049440509045665,2.0412716717096966E-4,"2025-07-24T10:11:04.668257Z"
74,-0.11873147419951513,2.52720942310946,0.15,0.1,0.0,0.10842817630634019,0.4961665624432174,3.508427392991258,-1.396017493828523E-4,0.1,-0.9999999999999869,0.0521749850815062,0.24835719561192499,0.0038332873328876128,2.005642575656539E-4,"2025-07-24T10:11:04.768207Z"
75,-0.12142392433943483,2.476238053187093,0.15,0.1,0.0,0.11211104788518352,0.49603636125603445,3.5075067310763077,-1.4646359069774112E-4,0.1,-0.9999999999999873,0.05270183370331309,0.24835719561192499,0.003963472687272237,1.9659698202530667E-4,"2025-07-24T10:11:04.868251Z"
76,-0.12412783851874187,2.4266908523792514,0.15,0.1,0.0,0.11584496007970205,0.49590435616991674,3.5065733136644726,-1.5348663148173278E-4,0.1,-0.999999999999987,0.053202804456556334,0.24835719561192499,0.0040954606234869075,1.9222074113036687E-4,"2025-07-24T10:11:04.968232Z"
77,-0.12684236415763683,2.378495618708476,0.15,0.1,0.0,0.11962878201336773,0.4957705872059485,3.5056274237477045,-1.6066698803648911E-4,0.1,-0.9999999999999873,0.05367729809481335,0.24835719561192499,0.004229211043295212,1.8743138707854584E-4,"2025-07-24T10:11:05.068230Z"
78,-0.12956664306080634,2.3315848860213673,0.15,0.1,0.0,0.12346136596715149,0.49563509498174524,3.504669348536072,-1.680004667187137E-4,0.1,-0.9999999999999875,0.05412471988962259,0.24835719561192499,0.004364683249812866,1.8222523342970094E-4,"2025-07-24T10:11:05.168252Z"
79,-0.13229981161078874,2.285895530739649,0.15,0.1,0.0,0.12734154763498418,0.49549792070237625,3.5036993793935682,-1.7548256631212675E-4,0.1,-0.9999999999999875,0.05454447894919636,0.24835719561192499,0.004501835956675953,1.7659906441783038E-4,"2025-07-24T10:11:05.268423Z"
80,-0.13504100096271238,2.2413684173507087,0.15,0.1,0.0,0.13126814638303042,0.49535910615114775,3.5027178117729423,-1.8310848077335447E-4,0.1,-0.9999999999999873,0.05493598757291056,0.24835719561192499,0.004640627297358681,1.705501438185987E-4,"2025-07-24T10:11:05.368256Z"
81,-0.13778933724036885,2.197948078227584,0.15,0.1,0.0,0.13523996551272421,0.4952186936802476,3.5017249451495456,-1.9087310235053087E-4,0.1,-0.9999999999999875,0.055298660634631416,0.24835719561192499,0.004781014834638896,1.6407622336130537E-4,"2025-07-24T10:11:05.468255Z"
82,-0.14054394173358026,2.155582423931084,0.15,0.1,0.0,0.13925579252751447,0.49507672620125465,3.5007210829542226,-1.9877102507296555E-4,0.1,-0.9999999999999876,0.055631914988258584,0.24835719561192499,0.004922955570209463,1.571755506733894E-4,"2025-07-24T10:11:05.568259Z"
83,-0.14330393109682232,2.114222480637801,0.15,0.1,0.0,0.1433143994032664,0.49493324717551335,3.4997065325052494,-2.0679654860991856E-4,0.1,-0.9999999999999876,0.055935168889587016,0.24835719561192499,0.005066405954433632,1.4984687674768568E-4,"2025-07-24T10:11:05.668213Z"
84,-0.14606841754906458,2.0738221517520974,0.15,0.1,0.0,0.14741454286226677,0.4947883006043763,3.4986816049393386,-2.1494368249611558E-4,0.1,-0.9999999999999876,0.05620784142932982,0.24835719561192499,0.005211321896242369,1.4208946292205965E-4,"2025-07-24T10:11:05.768206Z"
85,-0.14883650907478557,2.0343380011183387,0.15,0.1,0.0,0.15155496465077742,0.49464193101931697,3.4976466151417234,-2.2320615072125732E-4,0.1,-0.9999999999999875,0.0564493519729083,0.24835719561192499,0.005357658773171605,1.3390308736077106E-4,"2025-07-24T10:11:05.868242Z"
86,-0.15160730962612456,1.9957290555659788,0.15,0.1,0.0,0.15573439182008245,0.494494183471913,3.496601881675331,-2.3157739668041872E-4,0.1,-0.999999999999988,0.05665911960130109,0.24835719561192499,0.005505371441537267,1.2528805102921767E-4,"2025-07-24T10:11:05.968207Z"
87,-0.154379919326129,1.957956624784938,0.15,0.1,0.0,0.15995153701097345,0.49434510352370437,3.495547726709071,-2.40050588481847E-4,0.1,-0.9999999999999875,0.05683656255079379,0.24835719561192499,0.005654414246745889,1.1624518315258274E-4,"2025-07-24T10:11:06.068205Z"
88,-0.15715343467305665,1.920984136764041,0.15,0.1,0.0,0.16420509874161585,0.4941947372359275,3.494484475945236,-2.486186246083215E-4,0.1,-0.9999999999999876,0.05698109764596058,0.24835719561192499,0.0058047410337385315,1.0677584614985204E-4,"2025-07-24T10:11:06.168204Z"
89,-0.15992694874569247,1.8847769872296707,0.15,0.1,0.0,0.16849376169873972,0.49404313115912585,3.4934124585460493,-2.572741399278226E-4,0.1,-0.9999999999999878,0.05709213972224538,0.24835719561192499,0.005956305157565661,9.688194003548863E-5,"2025-07-24T10:11:06.268230Z"
90,-0.16269955140963777,1.8493024016971198,0.15,0.1,0.0,0.172816197032097,0.4938903323226426,3.4923320070593573,-2.660095120489508E-4,0.1,-0.9999999999999879,0.05716910103623217,0.24835719561192499,0.006109059494090604,8.656590628073355E-5,"2025-07-24T10:11:06.368229Z"
91,-0.1654703295245321,1.814529308905007,0.15,0.1,0.0,0.17717106265212632,0.4937363882239946,3.4912434573434963,-2.74816868016136E-4,0.1,-0.9999999999999878,0.05721139065761694,0.24835719561192499,0.006262956450819061,7.583073112810417E-5,"2025-07-24T10:11:06.468212Z"
92,-0.16823836715216495,1.7804282245353182,0.15,0.1,0.0,0.181557003530767,0.49358134681813076,3.4901471484913382,-2.8368809133932796E-4,0.1,-0.9999999999999881,0.05721841384088957,0.24835719561192499,0.006417947977852163,6.4679948351761E-5,"2025-07-24T10:11:06.568213Z"
93,-0.17100274576543628,1.7469711442440865,0.15,0.1,0.0,0.18597265200536167,0.49342525650657826,3.48904342275354,-2.9261482935249745E-4,0.1,-0.999999999999988,0.057189571373024176,0.24835719561192499,0.0065739855789604465,5.3117641458264855E-5,"2025-07-24T10:11:06.668251Z"
94,-0.17376254445812372,1.7141314451296212,0.15,0.1,0.0,0.19041662808558774,0.49326816612647684,3.487932625461007,-3.0158850089496584E-4,0.1,-0.999999999999988,0.057124258892713796,0.24835719561192499,0.00673102032277607,4.1148445321649964E-5,"2025-07-24T10:11:06.768213Z"
