"step_n","position","position_return","omega","epsilon","phi","knowledge","decision","decision_norm","entropy","delta_t","cosine_similarity","delta_h_over_delta_d","frobenius_norm","timestamp"
17,0.9617703730807734,-0.41003932782410196,0.15,0.1,0.0,0.08073292649364208,0.49524293902209654,2.1011377209437683,-2.901948533214957E-4,0.1,-0.9999999999965962,0.1190648325029284,0.08940931240815567,"2025-07-18T17:59:59.924941Z"
18,0.9575529322340319,-0.4339956190855099,0.15,0.1,0.0,0.09234196183880114,0.4947040641241085,2.156364844652944,-3.6229806927036445E-4,0.1,-0.9999999999946679,0.1338032560397146,0.09437669096455734,"2025-07-18T18:00:00.024970Z"
19,0.953120046017184,-0.45815438816485027,0.15,0.1,0.0,0.1049184578181493,0.49413520563027286,2.209839566031426,-4.473262706958845E-4,0.1,-0.9999999999918444,0.14947162140834014,0.09934412519901034,"2025-07-18T18:00:00.124928Z"
20,0.9484727118109273,-0.48252907054265787,0.15,0.1,0.0,0.11849328186301322,0.4935360992316255,2.261666177421649,-5.46829783959405E-4,0.1,-0.9999999999877899,0.1660865473781901,0.1043116245282642,"2025-07-18T18:00:00.224926Z"
21,0.9436119752458523,-0.5071335370509609,0.15,0.1,0.0,0.13309742221672327,0.4929064640524187,2.3119357569536256,-6.624722910061619E-4,0.1,-0.9999999999820661,0.18366589235443415,0.10927919942538722,"2025-07-18T18:00:00.324979Z"
22,0.93853892996718,-0.5319821279891499,0.15,0.1,0.0,0.14876206015395482,0.49224600214871805,2.3607282283308253,-7.960367185207255E-4,0.1,-0.9999999999741109,0.20222881405601345,0.11424686148945201,"2025-07-18T18:00:00.424973Z"
23,0.9332547173886965,-0.5570896893674555,0.15,0.1,0.0,0.1655186396433768,0.4915543979694237,2.408114018725052,-9.494316446819894E-4,0.1,-0.9999999999632092,0.2217958346026332,0.11921462351813668,"2025-07-18T18:00:00.524948Z"
24,0.9277605264359392,-0.5824716114823548,0.15,0.1,0.0,0.18339893523552692,0.490831317777466,2.4541554060471396,-0.0011246982652771797,0.1,-0.9999999999484581,0.24238891141613975,0.12418249958346735,"2025-07-18T18:00:00.624968Z"
25,0.9220575932786943,-0.6081438700474547,0.15,0.1,0.0,0.20243511885590112,0.4900764090287112,2.498907623303302,-0.00132401796543638,0.1,-0.999999999928731,0.26403151438894196,0.1291505051109429,"2025-07-18T18:00:00.724970Z"
26,0.9161472010528631,-0.6341230701249128,0.15,0.1,0.0,0.22265982610651075,0.48928929970588747,2.5424197709340532,-0.0015497205482504566,0.1,-0.9999999999026301,0.2867487098289962,0.13411865696229933,"2025-07-18T18:00:00.824952Z"
27,0.9100306795717619,-0.6604264931263425,0.15,0.1,0.0,0.244106222622033,0.48846959760459147,2.58473557585562,-0.001804293177100966,0.1,-0.9999999998684322,0.31056725174671723,0.1390869735221894,"2025-07-18T18:00:00.924942Z"
28,0.9037094050269201,-0.687072147179274,0.15,0.1,0.0,0.26680807098512827,0.4876168895681637,2.6258940269848026,-0.0020903900947367928,0.1,-0.9999999998240302,0.3355156811167875,0.14405547478907266,"2025-07-18T18:00:01.024968Z"
29,0.8971847996784428,-0.7140788211855047,0.15,0.1,0.0,0.29079979867658523,0.48673074066792,2.6659299103845577,-0.002410843189063841,0.1,-0.999999999766859,0.36162443381572185,0.14902418247063204,"2025-07-18T18:00:01.124977Z"
30,0.8904583315350079,-0.7414661429313139,0.15,0.1,0.0,0.31611656751751593,0.48581069332490123,2.7048742621728223,-0.0027686734833684066,0.1,-0.9999999996938147,0.388925958016999,0.15399312008405905,"2025-07-18T18:00:01.224945Z"
31,0.8835315140235704,-0.7692546416478043,0.15,0.1,0.0,0.34279434505133904,0.48485626636893503,2.742754753541922,-0.0031671036373861813,0.1,-0.9999999996011587,0.41745484191027316,0.1589623130615724,"2025-07-18T18:00:01.324968Z"
32,0.8764059056488482,-0.797465815462468,0.15,0.1,0.0,0.37086997831163915,0.4838669540304105,2.779596019323463,-0.003609571555385414,0.1,-0.9999999994844108,0.44724795271344175,0.16393178886156629,"2025-07-18T18:00:01.424969Z"
33,0.8690831096426648,-0.826122204231388,0.15,0.1,0.0,0.40038127042742866,0.4828422248597229,2.8154199392776724,-0.0040997452084040546,0.1,-0.9999999993382201,0.4783445880531683,0.16890157708581421,"2025-07-18T18:00:01.524934Z"
34,0.8615647736032286,-0.8552474682959489,0.15,0.1,0.0,0.431367060529381,0.4817815205688564,2.850245879523379,-0.004641538790138577,0.1,-0.9999999991562262,0.5107866409137868,0.17387170960318973,"2025-07-18T18:00:01.624971Z"
35,0.8538525891244308,-0.8848664737692383,0.15,0.1,0.0,0.4638673074389932,0.48068425478903637,2.884090900135977,-0.005239130339924692,0.1,-0.9999999989308902,0.5446187794939861,0.17884222068040215,"2025-07-18T18:00:01.724933Z"
36,0.8459482914152436,-0.9150053850274059,0.15,0.1,0.0,0.4979231776473242,0.4795498117377802,2.9169699338376236,-0.005896980982011172,0.1,-0.9999999986533098,0.5798886434696316,0.18381314712028837,"2025-07-18T18:00:01.824945Z"
37,0.8378536589093055,-0.9456917651595836,0.15,0.1,0.0,0.5335771381210264,0.47837754478801,2.94889593982124,-0.006619855948168504,0.1,-0.9999999983130033,0.6166470583334395,0.18878452840824694,"2025-07-18T18:00:01.925084Z"
38,0.8295705128647815,-0.9769546852200486,0.15,0.1,0.0,0.5708730545111389,0.4771667749311495,2.9798800360380517,-0.007412847570913995,0.1,-0.9999999978976648,0.6549482696915827,0.19375640686745116,"2025-07-18T18:00:02.024966Z"
39,0.8211007169545872,-1.0088248432277152,0.15,0.1,0.0,0.6098562953849297,0.47591678912530117,3.009931612700315,-0.008281400457627104,0.1,-0.9999999973928849,0.6948501996177779,0.19872882782353526,"2025-07-18T18:00:02.124954Z"
40,0.8124461768470708,-1.0413346939741994,0.15,0.1,0.0,0.6505738431535607,0.4746268385186709,3.0390584292777,-0.009231339082005897,0.1,-0.9999999967818294,0.7364147274292151,0.2037018397795079,"2025-07-18T18:00:02.224979Z"
41,0.8036088397772454,-1.074518590834014,0.15,0.1,0.0,0.693074412429226,0.47329613653738145,3.0672666968756297,-0.010268898059166472,0.1,-0.9999999960448787,0.779707997545174,0.2086754946017168,"2025-07-18T18:00:02.324973Z"
42,0.7945906941086696,-1.1084129409219399,0.15,0.1,0.0,0.7374085766156169,0.4719238568256505,3.0945611475595363,-0.011400755404801597,0.1,-0.9999999951592113,0.8248007574253603,0.21364984771776444,"2025-07-18T18:00:02.424933Z"
43,0.7853937688860737,-1.1430563751155813,0.15,0.1,0.0,0.7836289036161683,0.47050913102501063,3.120945091916993,-0.01263406911786457,0.1,-0.9999999940983341,0.8717687289686341,0.21862495832735795,"2025-07-18T18:00:02.524933Z"
44,0.7760201333788337,-1.1784899346606057,0.15,0.1,0.0,0.8317901016369302,0.4690510463777857,3.146420465919513,-0.01397651747105565,0.1,-0.9999999928315411,0.9206930172031406,0.22360088962717156,"2025-07-18T18:00:02.624967Z"
45,0.7664718966153938,-1.2147572763047718,0.15,0.1,0.0,0.8819491761666151,0.4675486431383873,3.1709878679488708,-0.015436343444893025,0.1,-0.9999999913233041,0.9716605605974971,0.2285777090509033,"2025-07-18T18:00:02.724969Z"
46,0.7567512069087445,-1.2519048981709897,0.15,0.1,0.0,0.934165599337332,0.46600091177413155,3.1946465866823495,-0.017022403800496855,0.1,-0.9999999895325743,1.0247646279149534,0.23355548852582333,"2025-07-18T18:00:02.824966Z"
47,0.7468602513730609,-1.2899823888846937,0.15,0.1,0.0,0.9885014930079347,0.4644067899351715,3.2173946203817883,-0.018744223354734864,0.1,-0.9999999874119833,1.0801053672040783,0.23853430474724302,"2025-07-18T18:00:02.924966Z"
48,0.7368012554316115,-1.3290427028240508,0.15,0.1,0.0,1.0450218270704312,0.46276515917074695,3.2392286879980143,-0.020612055100673442,0.1,-0.9999999849069418,1.1377904132987813,0.24351423947247672,"2025-07-18T18:00:03.024926Z"
49,0.726576482316047,-1.3691424647719816,0.15,0.1,0.0,1.1037946346616863,0.4610748413662414,3.260144232381466,-0.02263694690826141,0.1,-0.9999999819545998,1.1979355611060734,0.24849537983603218,"2025-07-18T18:00:03.124925Z"
50,0.7161882325571829,-1.4103423077261317,0.15,0.1,0.0,1.1534553586677994,0.4593345948724443,3.2478078017552976,-0.020081280412521704,0.1,-0.9999999806807709,-1.4685658065389762,0.24849537983603218,"2025-07-18T18:00:03.224888Z"
51,0.7056388434673899,-1.4527072481806254,0.15,0.1,0.0,1.2029417615919094,0.4575980439831009,3.2355216860551743,-0.020877593318092497,0.1,-0.999999980610123,0.45856007471906945,0.24849537983603218,"2025-07-18T18:00:03.324923Z"
52,0.6949306886147084,-1.496307103845664,0.15,0.1,0.0,1.2531768517173367,0.4558362749351743,3.2230571538032824,-0.022076759858511708,0.1,-0.9999999805322665,0.6806604655874212,0.24849537983603218,"2025-07-18T18:00:03.424968Z"
53,0.6840661772888055,-1.541216959535878,0.15,0.1,0.0,1.3042057977877057,0.4540477969957472,3.210403658810287,-0.02333503820377054,0.1,-0.9999999804475376,0.703547031540067,0.24849537983603218,"2025-07-18T18:00:03.524895Z"
54,0.673047753958895,-1.5875176878595532,0.15,0.1,0.0,1.3560762607295027,0.4522310410730132,3.1975501005716227,-0.02465728482388637,0.1,-0.9999999803561956,0.7278064177856121,0.24849537983603218,"2025-07-18T18:00:03.624956Z"
55,0.6618778977237427,-1.6352965324038689,0.15,0.1,0.0,1.408838615365166,0.4503843529931129,3.1844847767110465,-0.026048792714147322,0.1,-0.999999980258434,0.7535153908266317,0.24849537983603218,"2025-07-18T18:00:03.724924Z"
56,0.6505591217538791,-1.6846477623702987,0.15,0.1,0.0,1.4625461944949658,0.4485059861311025,3.171195330856029,-0.027515341904753313,0.1,-0.9999999801543862,0.7807575933469852,0.24849537983603218,"2025-07-18T18:00:03.824934Z"
57,0.6390939727261464,-1.7356734091100043,0.15,0.1,0.0,1.5172555582149236,0.4465940933167951,3.157668695384445,-0.029063256681796417,0.1,-0.9999999800441355,0.8096242453863056,0.24849537983603218,"2025-07-18T18:00:03.924924Z"
58,0.6274850302507078,-1.788484096791401,0.15,0.1,0.0,1.573026791765325,0.44464671792494775,3.1438910284023254,-0.030699470572339772,0.1,-0.9999999799277173,0.8402149361614222,0.24849537983603218,"2025-07-18T18:00:04.024925Z"
59,0.6157349062906454,-1.843199981565264,0.15,0.1,0.0,1.629923835706553,0.4426617840460982,3.129847644219332,-0.03243160033501885,0.1,-0.9999999798051246,0.8726385201722626,0.24849537983603218,"2025-07-18T18:00:04.124933Z"
60,0.6038462445742798,-1.8999518161519149,0.15,0.1,0.0,1.6880148528109653,0.4406370856189448,3.11552293647963,-0.03426803042475686,0.1,-0.9999999796763094,0.9070141336159142,0.24849537983603218,"2025-07-18T18:00:04.224926Z"
61,0.5918217200003422,-1.958882159860245,0.15,0.1,0.0,1.7473726367597955,0.4385702743870565,3.100900292977787,-0.03621800967479755,0.1,-0.9999999795411864,0.943472350040931,0.24849537983603218,"2025-07-18T18:00:04.324931Z"
62,0.5796640380361335,-2.020146757780979,0.15,0.1,0.0,1.8080750685653677,0.4364588465213498,3.0859620010383817,-0.03829176227243491,0.1,-0.9999999793996323,0.982156497656764,0.24849537983603218,"2025-07-18T18:00:04.424976Z"
63,0.567375934108806,-2.0839161174306673,0.15,0.1,0.0,1.870205627629332,0.4343001277245349,3.0706891421595297,-0.04050061551063382,0.1,-0.9999999792514879,1.0232241649343048,0.24849537983603218,"2025-07-18T18:00:04.524956Z"
64,0.5549601729899034,-2.1503773166553377,0.15,0.1,0.0,1.9338539655322708,0.43209125660376074,3.0550614744086437,-0.042857147294117194,0.1,-0.9999999790965582,1.0668489262775347,0.24849537983603218,"2025-07-18T18:00:04.624928Z"
65,0.5424195481732987,-2.219736083383844,0.15,0.1,0.0,1.9991165520727352,0.4298291660619929,3.0390573008062987,-0.045375356988263046,0.1,-0.9999999789346102,1.1132223258304441,0.24849537983603218,"2025-07-18T18:00:04.724929Z"
66,0.5297568812466704,-2.2922191961707936,0.15,0.1,0.0,2.0660974047895877,0.42751056241594493,3.022653321632087,-0.04807086395157782,0.1,-0.9999999787653737,1.162556165176931,0.24849537983603218,"2025-07-18T18:00:04.824929Z"
67,0.5169750212566566,-2.3680772648033095,0.15,0.1,0.0,2.134908915280227,0.42513190189707983,3.005824468223585,-0.050961139025438536,0.1,-0.9999999785885373,1.2150851502087068,0.24849537983603218,"2025-07-18T18:00:04.924968Z"
68,0.504076844067832,-2.4475879631005664,0.15,0.1,0.0,2.205672788157296,0.4226893641302977,2.9885437154018617,-0.05406577541723281,0.1,-0.9999999784037499,1.2710699642054546,0.24849537983603218,"2025-07-18T18:00:05.024975Z"
69,0.4910652517156504,-2.531059802114869,0.15,0.1,0.0,2.2785211115811848,0.420178822109893,2.970781869126485,-0.057406806869039886,0.1,-0.9999999782106135,1.3308008488416088,0.24849537983603218,"2025-07-18T18:00:05.124940Z"
70,0.47794317175349876,-2.618836552169915,0.15,0.1,0.0,2.3535975821105937,0.4175958081009729,2.9525073253367773,-0.061009082837758466,0.1,-0.9999999780086826,1.394601793206935,0.24849537983603218,"2025-07-18T18:00:05.224972Z"
71,0.46471355659401026,-2.7113024477719097,0.15,0.1,0.0,2.431058911317513,0.41493547478264736,2.9336857951450614,-0.06490071273547753,0.1,-0.99999997779746,1.4628354540808097,0.24849537983603218,"2025-07-18T18:00:05.324934Z"
72,0.45137938284478374,-2.8088883420345034,0.15,0.1,0.0,2.5110764474621066,0.4121925508115753,2.914279990573936,-0.0691135942393021,0.1,-0.9999999775763898,1.5359089600204952,0.24849537983603218,"2025-07-18T18:00:05.424968Z"
73,0.4379436506386596,-2.9120790190670856,0.15,0.1,0.0,2.5938380528406033,0.40936128981397063,2.8942492638242845,-0.07368404447709091,0.1,-0.9999999773448538,1.6142807892509894,0.24849537983603218,"2025-07-18T18:00:05.524924Z"
74,0.4244093829587027,-3.0214219267669744,0.15,0.1,0.0,2.6795502866332845,0.40643541160182994,2.8735491915595865,-0.0786535577992931,0.1,-0.9999999771021635,1.6984689593646143,0.24849537983603218,"2025-07-18T18:00:05.624875Z"
75,0.41077962495804365,-3.137537662706227,0.15,0.1,0.0,2.768440954761202,0.4034080341430049,2.8521310938105313,-0.08406972022540087,0.1,-0.9999999768475512,1.7890608289756682,0.24849537983603218,"2025-07-18T18:00:05.724952Z"
76,0.3970574432747326,-3.261132637940662,0.15,0.1,0.0,2.860762103178267,0.400271594478855,2.8299414747294636,-0.0899873190132101,0.1,-0.9999999765801635,1.8867248923830804,0.24849537983603218,"2025-07-18T18:00:05.824954Z"
77,0.38324592534175816,-3.3930144654430747,0.15,0.1,0.0,2.9567935502245226,0.39701775635626896,2.806921369405937,-0.09646969684468074,0.1,-0.9999999762990454,1.992225054612927,0.24849537983603218,"2025-07-18T18:00:05.924922Z"
78,0.36934817869238845,-3.53411078253172,0.15,0.1,0.0,3.0568470785798736,0.393637301793908,2.7830055770883115,-0.10359041484267147,0.1,-0.9999999760031318,2.1064380149566326,0.24849537983603218,"2025-07-18T18:00:06.024947Z"
79,0.3553673302609889,-3.685492435891349,0.15,0.1,0.0,3.161271439972276,0.390120003096108,2.758121756162733,-0.11143530843186329,0.1,-0.999999975691229,2.230374575266718,0.24849537983603218,"2025-07-18T18:00:06.124933Z"
80,0.3413065256794753,-3.8484022562908664,0.15,0.1,0.0,3.2704583688955293,0.38645447090738716,2.732189349734063,-0.12010504694928487,0.1,-0.999999975361997,2.365205943109462,0.24849537983603218,"2025-07-18T18:00:06.224929Z"
81,0.3271689285695599,-4.024291061081571,0.15,0.1,0.0,3.3848498591308083,0.38262797268965276,2.7051183020943497,-0.1297183448219607,0.1,-0.999999975013928,2.512296445904973,0.24849537983603218,"2025-07-18T18:00:06.324926Z"
82,0.31295771983095,-4.214863095155599,0.15,0.1,0.0,3.504947034520579,0.37862621439510025,2.6768075149906143,-0.1404160233697078,0.1,-0.999999974645319,2.673244549104713,0.24849537983603218,"2025-07-18T18:00:06.424962Z"
83,0.29867609692565855,-4.422133929099779,0.15,0.1,0.0,3.6313210514856578,0.3744330759458145,2.6471429773224218,-0.15236619429151177,0.1,-0.9999999742542423,2.849934736555029,0.24849537983603218,"2025-07-18T18:00:06.524965Z"
84,0.2843272731585892,-4.648504989527948,0.15,0.1,0.0,3.7646266174382284,0.37003028819151046,2.615995481122759,-0.16577093840125984,0.1,-0.999999973838505,3.0446037505768953,0.24849537983603218,"2025-07-18T18:00:06.624967Z"
85,0.26991447695455584,-4.896860576106877,0.15,0.1,0.0,3.9056189149091485,0.365397034968034,2.583217808059473,-0.18087500120828823,0.1,-0.9999999733956035,3.2599260343675707,0.24849537983603218,"2025-07-18T18:00:06.724929Z"
86,0.2554409511319009,-5.1706956996742655,0.15,0.1,0.0,4.055175013993775,0.36050945822356045,2.548641230722477,-0.19797724403501812,0.1,-0.9999999729226672,3.4991251740584253,0.24849537983603218,"2025-07-18T18:00:06.824971Z"
87,0.2409099521728747,-5.4742868035480985,0.15,0.1,0.0,4.214321279463328,0.355340036156532,2.5120711162610223,-0.21744591316714293,0.1,-0.9999999724163882,3.7661210246885366,0.24849537983603218,"2025-07-18T18:00:06.924963Z"
88,0.22632474949094084,-5.812923144588856,0.15,0.1,0.0,4.38426890338393,0.3498567927341808,2.4732813381315983,-0.23973928149375268,0.1,-0.9999999718729338,4.065726543478985,0.24849537983603218,"2025-07-18T18:00:07.024929Z"
89,0.21168862469517186,-6.193225562407729,0.15,0.1,0.0,4.56646063306155,0.344022279945114,2.43200708147053,-0.2654339798969354,0.1,-0.9999999712878376,4.403915002351438,0.24849537983603218,"2025-07-18T18:00:07.124931Z"
90,0.19700487085190116,-6.623593729024786,0.15,0.1,0.0,4.762633207712657,0.33779224860279083,2.3879354471454484,-0.2952645452980817,0.1,-0.9999999706558629,4.788188656210305,0.24849537983603218,"2025-07-18T18:00:07.224925Z"
91,0.18227679174379685,-7.114846644667271,0.15,0.1,0.0,4.974902292482692,0.33111388429319055,2.3406929823681413,-0.3301796791088529,0.1,-0.9999999699708229,5.228096610509845,0.24849537983603218,"2025-07-18T18:00:07.324968Z"
92,0.16750770112652463,-7.6811613525108084,0.15,0.1,0.0,5.205880386110035,0.3239234232243197,2.289828828806799,-0.3714239986382343,0.1,-0.9999999692253585,5.735977030449074,0.24849537983603218,"2025-07-18T18:00:07.424964Z"
93,0.15270092198316676,-8.34148549577792,0.15,0.1,0.0,5.458844348098502,0.316142862333296,2.234791469698251,-0.42065973959852787,0.1,-0.9999999684106351,6.328045194928824,0.24849537983603218,"2025-07-18T18:00:07.524966Z"
94,0.13785978577656488,-9.121728399386306,0.15,0.1,0.0,5.737979894488846,0.3076753093967208,2.174895866108783,-0.4801530199498156,0.1,-0.9999999675159559,7.026029928234507,0.24849537983603218,"2025-07-18T18:00:07.624983Z"
95,0.1229876316997549,-10.058281904508984,0.15,0.1,0.0,6.0487497752796235,0.2983982245011699,2.1092756924965106,-0.5530681968900976,0.1,-0.9999999665282329,7.859707845861214,0.24849537983603218,"2025-07-18T18:00:07.724972Z"
96,0.10808780592466266,-11.203918428092216,0.15,0.1,0.0,6.3984691424515425,0.2881532663384166,2.036811581405953,-0.6439508364401721,0.1,-0.9999999654312802,8.87096248772287,0.24849537983603218,"2025-07-18T18:00:07.824966Z"
97,0.09316366084922936,-12.638176277874589,0.15,0.1,0.0,6.797245738288985,0.27673041962019806,1.9560189595714466,-0.7595562782568794,0.1,-0.9999999642048476,10.120545663308766,0.24849537983603218,"2025-07-18T18:00:07.924967Z"
98,0.07821855434313624,-14.486793492075623,0.15,0.1,0.0,7.259602758692378,0.26384194595786825,1.8648639820159192,-0.9103497445820158,0.1,-0.9999999628232988,11.699869998250657,0.24849537983603218,"2025-07-18T18:00:08.024928Z"
99,0.06325584899229797,-16.960950519138073,0.15,0.1,0.0,7.807480220937851,0.24907694480806525,1.7604424741252631,-1.1134087798427597,0.1,-0.9999999612538535,13.75272735847048,0.24849537983603218,"2025-07-18T18:00:08.124967Z"
100,0.04827891134229503,-20.444698759245277,0.15,0.1,0.0,8.476307441204192,0.23181558432990731,1.638373951960266,-1.3985312047298428,0.1,-0.9999999594544354,16.517957854357395,0.24849537983603218,"2025-07-18T18:00:08.224919Z"
101,0.03329111114091521,-25.71736474854611,0.15,0.1,0.0,9.328887767062634,0.2110490373888625,1.4915295085733087,-1.82258033871785,0.1,-0.9999999573720345,20.419819202097553,0.24849537983603218,"2025-07-18T18:00:08.324944Z"
102,0.018295820579974503,-34.63826676134534,0.15,0.1,0.0,10.493334394159158,0.1849393701262381,1.3069227267853016,-2.508599088237112,0.1,-0.9999999549470069,26.274511376147935,0.24849537983603218,"2025-07-18T18:00:08.424939Z"
103,0.0032964135365882163,-53.00926686678829,0.15,0.1,0.0,12.301552623628389,0.1494548001072841,1.0560693791493094,-3.777380846068452,0.1,-0.9999999521581248,35.75587240182489,0.24849537983603218,"2025-07-18T18:00:08.524943Z"
104,-0.011703735185937163,-112.81349426481762,0.15,0.1,0.0,16.208831636556823,0.09184116148275295,0.648874947574165,-6.697247694420121,0.1,-0.9999999494662023,50.680132657138365,0.24849537983603218,"2025-07-18T18:00:08.624946Z"
105,-0.026701250617420468,880.2726829424324,0.15,0.1,0.0,14.765265061906518,0.8898493333208015,6.291436638028503,3.1640930503841433,0.1,0.9999999952505899,12.357443310499796,0.24849537983603218,"2025-07-18T18:00:08.724922Z"
106,-0.041692758380159914,89.76278547130086,0.15,0.1,0.0,17.98066064269733,0.9271312577103331,6.555527982803141,-5.133766465355531,0.1,0.9999999966749625,-222.57057948622503,0.24849537983603218,"2025-07-18T18:00:08.824944Z"
107,-0.05667488544815383,47.27302965643068,0.15,0.1,0.0,19.705553227512905,0.9419620861829684,6.660645890053683,-2.563692837085507,0.1,0.999999997580851,173.29265408281998,0.24849537983603218,"2025-07-18T18:00:08.924953Z"
108,-0.07164426090601729,32.07158478083755,0.15,0.1,0.0,20.89821488066275,0.9505019197849041,6.721195768898372,-1.642910499670597,0.1,0.9999999980367426,107.82204669728024,0.24849537983603218,"2025-07-18T18:00:09.024925Z"
109,-0.08659751670742385,24.257336500804623,0.15,0.1,0.0,21.818101804637156,0.9562572614233655,6.762009529074228,-1.1847286950439746,0.1,0.9999999979031502,79.60983611549845,0.24849537983603218,"2025-07-18T18:00:09.124950Z"
110,-0.10153128843290178,19.496417596042694,0.15,0.1,0.0,22.57250287687632,0.9604934298259524,6.792050390366269,-0.9155878736085319,0.1,0.9999999971143669,63.534023168457374,0.24849537983603218,"2025-07-18T18:00:09.224946Z"
111,-0.1164422160468142,16.290525206408603,0.15,0.1,0.0,23.21610628248308,0.9637931210364793,6.815447338881602,-0.740696304277685,0.1,0.9999999956792253,53.0024048228809,0.24849537983603218,"2025-07-18T18:00:09.324946Z"
112,-0.13132694465335298,13.983858246611799,0.15,0.1,0.0,23.780581371493884,0.9664671481617418,6.834403549901789,-0.6190413330147231,0.1,0.9999999936607508,45.49504008902578,0.24849537983603218,"2025-07-18T18:00:09.424930Z"
113,-0.14618212525137614,12.243925403764477,0.15,0.1,0.0,24.285930372974672,0.9686985823466653,6.850217183691309,-0.5301652188122937,0.1,0.9999999911565988,39.82914432471984,0.24849537983603218,"2025-07-18T18:00:09.524855Z"
114,-0.16100441548791894,10.884167220318087,0.15,0.1,0.0,24.74561226206529,0.970603275111937,6.863710061063744,-0.4627924935642333,0.1,0.999999988283267,35.371964695024786,0.24849537983603218,"2025-07-18T18:00:09.624944Z"
